,symbol,metric,value
1507,CB,Volume,"1,140,712"
1508,CB,Avg. Volume,"1,708,868"
1509,CB,Market Cap,85.084B
1510,CB,Beta (5Y Monthly),0.82
1511,CB,PE Ratio (TTM),10.04
1512,CB,EPS (TTM),19.67
1513,CB,Earnings Date,"Feb 01, 2022"
1514,CB,Forward Dividend & Yield,3.20 (1.62%)
1515,CB,Ex-Dividend Date,"Dec 16, 2021"
1516,CB,1y Target Est,N/A
1517,CHD,Previous Close,102.50
1518,CHD,Open,101.37
1519,CHD,Bid,101.34 x 1100
1520,CHD,Ask,105.00 x 900
1521,CHD,Day's Range,99.78 - 101.84
1522,CHD,52 Week Range,77.62 - 103.00
1523,CHD,Volume,"1,427,813"
1524,CHD,Avg. Volume,"1,343,003"
1525,CHD,Market Cap,25.427B
1526,CHD,Beta (5Y Monthly),0.41
1527,CHD,PE Ratio (TTM),31.03
1528,CHD,EPS (TTM),3.28
1529,CHD,Earnings Date,"Jan 28, 2022"
1530,CHD,Forward Dividend & Yield,1.01 (0.99%)
1531,CHD,Ex-Dividend Date,"Nov 12, 2021"
1532,CHD,1y Target Est,92.58
1533,CI,Previous Close,227.54
1534,CI,Open,227.14
1535,CI,Bid,233.18 x 1100
1536,CI,Ask,234.00 x 800
1537,CI,Day's Range,225.20 - 234.09
1538,CI,52 Week Range,191.74 - 272.81
1539,CI,Volume,"2,049,761"
1540,CI,Avg. Volume,"1,890,673"
1541,CI,Market Cap,77.282B
1542,CI,Beta (5Y Monthly),0.91
1543,CI,PE Ratio (TTM),9.70
1544,CI,EPS (TTM),24.03
1545,CI,Earnings Date,"Feb 03, 2022"
1546,CI,Forward Dividend & Yield,4.00 (1.72%)
1547,CI,Ex-Dividend Date,"Dec 06, 2021"
1548,CI,1y Target Est,260.28
1549,CINF,Previous Close,113.93
1550,CINF,Open,114.36
1551,CINF,Bid,113.14 x 800
1552,CINF,Ask,112.72 x 800
1553,CINF,Day's Range,112.43 - 115.82
1554,CINF,52 Week Range,82.62 - 127.25
1555,CINF,Volume,"391,128"
1556,CINF,Avg. Volume,"500,814"
1557,CINF,Market Cap,18.227B
1558,CINF,Beta (5Y Monthly),0.69
1559,CINF,PE Ratio (TTM),7.28
1560,CINF,EPS (TTM),15.53
1561,CINF,Earnings Date,"Feb 08, 2022 - Feb 14, 2022"
1562,CINF,Forward Dividend & Yield,2.52 (2.21%)
1563,CINF,Ex-Dividend Date,"Dec 15, 2021"
1564,CINF,1y Target Est,134.80
1565,CTAS,Previous Close,397.42
1566,CTAS,Open,394.60
1567,CTAS,Bid,397.84 x 1000
1568,CTAS,Ask,398.33 x 800
1569,CTAS,Day's Range,390.71 - 399.73
1570,CTAS,52 Week Range,314.62 - 461.44
1571,CTAS,Volume,"765,472"
1572,CTAS,Avg. Volume,"404,290"
1573,CTAS,Market Cap,41.413B
1574,CTAS,Beta (5Y Monthly),1.46
1575,CTAS,PE Ratio (TTM),37.30
1576,CTAS,EPS (TTM),10.70
1577,CTAS,Earnings Date,"Mar 15, 2022 - Mar 21, 2022"
1578,CTAS,Forward Dividend & Yield,3.80 (0.96%)
1579,CTAS,Ex-Dividend Date,"Nov 12, 2021"
1580,CTAS,1y Target Est,457.56
1581,CSCO,Previous Close,62.12
1582,CSCO,Open,62.08
1583,CSCO,Bid,61.50 x 1400
1584,CSCO,Ask,61.55 x 800
1585,CSCO,Day's Range,61.21 - 62.13
1586,CSCO,52 Week Range,44.15 - 64.29
1587,CSCO,Volume,"14,811,307"
1588,CSCO,Avg. Volume,"20,937,607"
1589,CSCO,Market Cap,259.383B
1590,CSCO,Beta (5Y Monthly),0.94
1591,CSCO,PE Ratio (TTM),22.86
1592,CSCO,EPS (TTM),2.69
1593,CSCO,Earnings Date,"Feb 07, 2022 - Feb 11, 2022"
1594,CSCO,Forward Dividend & Yield,1.48 (2.38%)
1595,CSCO,Ex-Dividend Date,"Jan 04, 2022"
1596,CSCO,1y Target Est,63.20
1597,C,Previous Close,67.28
1598,C,Open,67.53
1599,C,Bid,67.85 x 3100
1600,C,Ask,67.81 x 900
1601,C,Day's Range,67.02 - 68.44
1602,C,52 Week Range,57.40 - 80.29
1603,C,Volume,"29,016,251"
1604,C,Avg. Volume,"22,326,019"
1605,C,Market Cap,134.494B
1606,C,Beta (5Y Monthly),1.79
1607,C,PE Ratio (TTM),6.42
1608,C,EPS (TTM),10.56
1609,C,Earnings Date,"Jan 14, 2022"
1610,C,Forward Dividend & Yield,2.04 (3.04%)
1611,C,Ex-Dividend Date,"Oct 29, 2021"
1612,C,1y Target Est,80.47
1613,CFG,Previous Close,55.21
1614,CFG,Open,55.28
1615,CFG,Bid,55.51 x 800
1616,CFG,Ask,55.52 x 1800
1617,CFG,Day's Range,55.11 - 56.08
1618,CFG,52 Week Range,35.09 - 56.08
1619,CFG,Volume,"6,166,326"
1620,CFG,Avg. Volume,"4,198,671"
1621,CFG,Market Cap,23.739B
1622,CFG,Beta (5Y Monthly),1.57
1623,CFG,PE Ratio (TTM),11.18
1624,CFG,EPS (TTM),4.98
1625,CFG,Earnings Date,"Jan 19, 2022"
1626,CFG,Forward Dividend & Yield,1.56 (2.86%)
1627,CFG,Ex-Dividend Date,"Oct 28, 2021"
1628,CFG,1y Target Est,57.97
1629,CTXS,Previous Close,98.13
1630,CTXS,Open,97.68
1631,CTXS,Bid,93.56 x 900
1632,CTXS,Ask,97.40 x 800
1633,CTXS,Day's Range,96.04 - 98.47
1634,CTXS,52 Week Range,78.07 - 145.19
1635,CTXS,Volume,"758,117"
1636,CTXS,Avg. Volume,"1,683,362"
1637,CTXS,Market Cap,12.076B
1638,CTXS,Beta (5Y Monthly),0.04
1639,CTXS,PE Ratio (TTM),38.45
1640,CTXS,EPS (TTM),2.52
1641,CTXS,Earnings Date,"Jan 17, 2022 - Jan 21, 2022"
1642,CTXS,Forward Dividend & Yield,1.48 (1.52%)
1643,CTXS,Ex-Dividend Date,"Dec 06, 2021"
1644,CTXS,1y Target Est,97.85
1645,CLX,Previous Close,179.70
1646,CLX,Open,179.75
1647,CLX,Bid,0.00 x 800
1648,CLX,Ask,0.00 x 900
1649,CLX,Day's Range,178.60 - 180.87
1650,CLX,52 Week Range,156.23 - 231.11
1651,CLX,Volume,"1,079,913"
1652,CLX,Avg. Volume,"1,232,955"
1653,CLX,Market Cap,22.063B
1654,CLX,Beta (5Y Monthly),0.18
1655,CLX,PE Ratio (TTM),51.79
1656,CLX,EPS (TTM),3.47
1657,CLX,Earnings Date,"Feb 03, 2022"
1658,CLX,Forward Dividend & Yield,4.64 (2.58%)
1659,CLX,Ex-Dividend Date,"Jan 25, 2022"
1660,CLX,1y Target Est,163.91
1661,CME,Previous Close,226.18
1662,CME,Open,227.00
1663,CME,Bid,224.06 x 1100
1664,CME,Ask,223.43 x 800
1665,CME,Day's Range,223.13 - 229.00
1666,CME,52 Week Range,177.73 - 232.64
1667,CME,Volume,"1,949,620"
1668,CME,Avg. Volume,"1,204,820"
1669,CME,Market Cap,80.408B
1670,CME,Beta (5Y Monthly),0.46
1671,CME,PE Ratio (TTM),33.00
1672,CME,EPS (TTM),6.78
1673,CME,Earnings Date,"Feb 09, 2022"
1674,CME,Forward Dividend & Yield,3.60 (1.59%)
1675,CME,Ex-Dividend Date,"Dec 27, 2021"
1676,CME,1y Target Est,234.25
1677,CMS,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1678,KO,Previous Close,60.54
1679,KO,Open,60.54
1680,KO,Bid,60.78 x 2900
1681,KO,Ask,61.04 x 1000
1682,KO,Day's Range,60.38 - 61.04
1683,KO,52 Week Range,48.11 - 61.20
1684,KO,Volume,"14,311,663"
1685,KO,Avg. Volume,"16,748,034"
1686,KO,Market Cap,263.053B
1687,KO,Beta (5Y Monthly),0.71
1688,KO,PE Ratio (TTM),29.99
1689,KO,EPS (TTM),2.03
1690,KO,Earnings Date,"Feb 08, 2022 - Feb 14, 2022"
1691,KO,Forward Dividend & Yield,1.68 (2.78%)
1692,KO,Ex-Dividend Date,"Nov 30, 2021"
1693,KO,1y Target Est,63.12
1694,CTSH,Previous Close,88.07
1695,CTSH,Open,88.11
1696,CTSH,Bid,87.20 x 1000
1697,CTSH,Ask,87.14 x 1200
1698,CTSH,Day's Range,87.02 - 88.36
1699,CTSH,52 Week Range,66.19 - 92.03
1700,CTSH,Volume,"2,268,505"
1701,CTSH,Avg. Volume,"2,684,001"
1702,CTSH,Market Cap,46.333B
1703,CTSH,Beta (5Y Monthly),1.15
1704,CTSH,PE Ratio (TTM),24.60
1705,CTSH,EPS (TTM),3.55
1706,CTSH,Earnings Date,"Feb 01, 2022 - Feb 07, 2022"
1707,CTSH,Forward Dividend & Yield,0.96 (1.09%)
1708,CTSH,Ex-Dividend Date,"Nov 18, 2021"
1709,CTSH,1y Target Est,89.02
1710,CL,Previous Close,82.87
1711,CL,Open,82.81
1712,CL,Bid,82.00 x 900
1713,CL,Ask,83.30 x 1200
1714,CL,Day's Range,81.97 - 82.84
1715,CL,52 Week Range,74.01 - 85.61
1716,CL,Volume,"6,667,543"
1717,CL,Avg. Volume,"4,354,722"
1718,CL,Market Cap,69.569B
1719,CL,Beta (5Y Monthly),0.62
1720,CL,PE Ratio (TTM),26.29
1721,CL,EPS (TTM),3.14
1722,CL,Earnings Date,"Jan 28, 2022"
1723,CL,Forward Dividend & Yield,1.80 (2.17%)
1724,CL,Ex-Dividend Date,"Oct 20, 2021"
1725,CL,1y Target Est,85.84
1726,CMCSA,Previous Close,50.05
1727,CMCSA,Open,50.37
1728,CMCSA,Bid,0.00 x 800
1729,CMCSA,Ask,0.00 x 800
1730,CMCSA,Day's Range,49.87 - 50.92
1731,CMCSA,52 Week Range,46.29 - 61.80
1732,CMCSA,Volume,"19,694,356"
1733,CMCSA,Avg. Volume,"19,970,758"
1734,CMCSA,Market Cap,230.822B
1735,CMCSA,Beta (5Y Monthly),0.94
1736,CMCSA,PE Ratio (TTM),16.25
1737,CMCSA,EPS (TTM),3.11
1738,CMCSA,Earnings Date,"Jan 27, 2022"
1739,CMCSA,Forward Dividend & Yield,1.00 (1.98%)
1740,CMCSA,Ex-Dividend Date,"Jan 04, 2022"
1741,CMCSA,1y Target Est,63.54
1742,CMA,Previous Close,97.12
1743,CMA,Open,97.60
1744,CMA,Bid,0.00 x 1400
1745,CMA,Ask,97.36 x 1100
1746,CMA,Day's Range,95.83 - 97.82
1747,CMA,52 Week Range,55.87 - 98.53
1748,CMA,Volume,"229,077"
1749,CMA,Avg. Volume,"1,141,944"
1750,CMA,Market Cap,12.66B
1751,CMA,Beta (5Y Monthly),1.51
1752,CMA,PE Ratio (TTM),12.02
1753,CMA,EPS (TTM),8.03
1754,CMA,Earnings Date,"Jan 19, 2022"
1755,CMA,Forward Dividend & Yield,2.72 (2.80%)
1756,CMA,Ex-Dividend Date,"Dec 14, 2021"
1757,CMA,1y Target Est,96.06
1758,CAG,Previous Close,33.54
1759,CAG,Open,33.60
1760,CAG,Bid,34.00 x 1400
1761,CAG,Ask,34.45 x 1000
1762,CAG,Day's Range,33.58 - 34.59
1763,CAG,52 Week Range,30.44 - 39.09
1764,CAG,Volume,"2,587,354"
1765,CAG,Avg. Volume,"3,750,784"
1766,CAG,Market Cap,16.487B
1767,CAG,Beta (5Y Monthly),0.83
1768,CAG,PE Ratio (TTM),15.08
1769,CAG,EPS (TTM),2.28
1770,CAG,Earnings Date,"Apr 06, 2022 - Apr 11, 2022"
1771,CAG,Forward Dividend & Yield,1.25 (3.73%)
1772,CAG,Ex-Dividend Date,"Jan 28, 2022"
1773,CAG,1y Target Est,36.88
1774,COP,Previous Close,84.40
1775,COP,Open,83.94
1776,COP,Bid,83.62 x 900
1777,COP,Ask,83.52 x 2200
1778,COP,Day's Range,83.19 - 84.86
1779,COP,52 Week Range,39.70 - 84.86
1780,COP,Volume,"6,016,385"
1781,COP,Avg. Volume,"7,666,887"
1782,COP,Market Cap,110.291B
1783,COP,Beta (5Y Monthly),1.61
1784,COP,PE Ratio (TTM),22.68
1785,COP,EPS (TTM),3.69
1786,COP,Earnings Date,"Feb 03, 2022"
1787,COP,Forward Dividend & Yield,1.52 (1.80%)
1788,COP,Ex-Dividend Date,"Dec 31, 2021"
1789,COP,1y Target Est,92.29
1790,ED,Previous Close,84.78
1791,ED,Open,84.75
1792,ED,Bid,84.71 x 1000
1793,ED,Ask,84.75 x 1000
1794,ED,Day's Range,82.21 - 85.09
1795,ED,52 Week Range,65.56 - 86.25
1796,ED,Volume,"2,921,202"
1797,ED,Avg. Volume,"2,594,887"
1798,ED,Market Cap,29.386B
1799,ED,Beta (5Y Monthly),0.22
1800,ED,PE Ratio (TTM),24.61
1801,ED,EPS (TTM),3.38
1802,ED,Earnings Date,"Feb 16, 2022 - Feb 21, 2022"
1803,ED,Forward Dividend & Yield,3.10 (3.66%)
1804,ED,Ex-Dividend Date,"Nov 16, 2021"
1805,ED,1y Target Est,75.06
1806,STZ,Previous Close,248.12
1807,STZ,Open,249.08
1808,STZ,Bid,242.55 x 800
1809,STZ,Ask,246.75 x 800
1810,STZ,Day's Range,246.14 - 249.61
1811,STZ,52 Week Range,207.35 - 258.00
1812,STZ,Volume,"639,925"
1813,STZ,Avg. Volume,"1,025,690"
1814,STZ,Market Cap,46.37B
1815,STZ,Beta (5Y Monthly),1.18
1816,STZ,PE Ratio (TTM),N/A
1817,STZ,EPS (TTM),-0.28
1818,STZ,Earnings Date,"Apr 06, 2022 - Apr 11, 2022"
1819,STZ,Forward Dividend & Yield,3.04 (1.23%)
1820,STZ,Ex-Dividend Date,"Feb 08, 2022"
1821,STZ,1y Target Est,273.00
1822,COO,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1823,CPRT,Previous Close,136.41
1824,CPRT,Open,135.11
1825,CPRT,Bid,134.02 x 800
1826,CPRT,Ask,134.09 x 800
1827,CPRT,Day's Range,133.04 - 135.03
1828,CPRT,52 Week Range,101.92 - 161.12
1829,CPRT,Volume,"417,487"
1830,CPRT,Avg. Volume,"793,044"
1831,CPRT,Market Cap,31.892B
1832,CPRT,Beta (5Y Monthly),1.05
1833,CPRT,PE Ratio (TTM),32.40
1834,CPRT,EPS (TTM),4.15
1835,CPRT,Earnings Date,"Feb 16, 2022 - Feb 21, 2022"
1836,CPRT,Forward Dividend & Yield,N/A (N/A)
1837,CPRT,Ex-Dividend Date,N/A
1838,CPRT,1y Target Est,170.11
1839,GLW,Previous Close,37.97
1840,GLW,Open,37.91
1841,GLW,Bid,0.00 x 1000
1842,GLW,Ask,0.00 x 1100
1843,GLW,Day's Range,37.16 - 38.10
1844,GLW,52 Week Range,35.03 - 46.82
1845,GLW,Volume,"4,444,499"
1846,GLW,Avg. Volume,"4,117,249"
1847,GLW,Market Cap,32.088B
1848,GLW,Beta (5Y Monthly),1.08
1849,GLW,PE Ratio (TTM),37.45
1850,GLW,EPS (TTM),1.00
1851,GLW,Earnings Date,"Jan 26, 2022"
1852,GLW,Forward Dividend & Yield,0.96 (2.55%)
1853,GLW,Ex-Dividend Date,"Nov 10, 2021"
1854,GLW,1y Target Est,44.31
1855,CTVA,Previous Close,48.86
1856,CTVA,Open,48.82
1857,CTVA,Bid,48.50 x 800
1858,CTVA,Ask,49.25 x 1300
1859,CTVA,Day's Range,48.54 - 49.41
1860,CTVA,52 Week Range,36.54 - 49.98
1861,CTVA,Volume,"2,051,192"
1862,CTVA,Avg. Volume,"2,542,300"
1863,CTVA,Market Cap,35.644B
1864,CTVA,Beta (5Y Monthly),0.79
1865,CTVA,PE Ratio (TTM),22.21
1866,CTVA,EPS (TTM),2.20
1867,CTVA,Earnings Date,"Feb 02, 2022"
1868,CTVA,Forward Dividend & Yield,0.56 (1.16%)
1869,CTVA,Ex-Dividend Date,"Nov 10, 2021"
1870,CTVA,1y Target Est,53.37
1871,COST,Previous Close,525.80
1872,COST,Open,527.64
1873,COST,Bid,516.00 x 800
1874,COST,Ask,520.90 x 1100
1875,COST,Day's Range,515.23 - 528.75
1876,COST,52 Week Range,307.00 - 571.49
1877,COST,Volume,"2,148,381"
1878,COST,Avg. Volume,"2,320,049"
1879,COST,Market Cap,229.201B
1880,COST,Beta (5Y Monthly),0.64
1881,COST,PE Ratio (TTM),44.44
1882,COST,EPS (TTM),11.63
1883,COST,Earnings Date,"Mar 03, 2022"
1884,COST,Forward Dividend & Yield,3.16 (0.60%)
1885,COST,Ex-Dividend Date,"Oct 28, 2021"
1886,COST,1y Target Est,556.15
1887,CTRA,Previous Close,21.36
1888,CTRA,Open,21.65
1889,CTRA,Bid,0.00 x 1400
1890,CTRA,Ask,0.00 x 1400
1891,CTRA,Day's Range,20.74 - 21.70
1892,CTRA,52 Week Range,14.28 - 23.64
1893,CTRA,Volume,"6,960,939"
1894,CTRA,Avg. Volume,"8,253,673"
1895,CTRA,Market Cap,17.289B
1896,CTRA,Beta (5Y Monthly),-0.13
1897,CTRA,PE Ratio (TTM),24.18
1898,CTRA,EPS (TTM),0.88
1899,CTRA,Earnings Date,"Feb 21, 2022 - Feb 25, 2022"
1900,CTRA,Forward Dividend & Yield,0.45 (2.08%)
1901,CTRA,Ex-Dividend Date,"Nov 12, 2021"
1902,CTRA,1y Target Est,27.69
1903,CCI,Previous Close,190.67
1904,CCI,Open,190.95
1905,CCI,Bid,0.00 x 800
1906,CCI,Ask,0.00 x 1000
1907,CCI,Day's Range,185.98 - 190.95
1908,CCI,52 Week Range,146.15 - 209.87
1909,CCI,Volume,"2,397,901"
1910,CCI,Avg. Volume,"1,723,680"
1911,CCI,Market Cap,81.077B
1912,CCI,Beta (5Y Monthly),0.48
1913,CCI,PE Ratio (TTM),65.34
1914,CCI,EPS (TTM),2.87
1915,CCI,Earnings Date,"Jan 25, 2022 - Jan 31, 2022"
1916,CCI,Forward Dividend & Yield,5.88 (3.02%)
1917,CCI,Ex-Dividend Date,"Dec 14, 2021"
1918,CCI,1y Target Est,200.59
1919,CSX,Previous Close,36.54
1920,CSX,Open,36.55
1921,CSX,Bid,36.24 x 2900
1922,CSX,Ask,36.25 x 1400
1923,CSX,Day's Range,35.47 - 36.60
1924,CSX,52 Week Range,27.70 - 38.01
1925,CSX,Volume,"10,154,853"
1926,CSX,Avg. Volume,"11,750,466"
1927,CSX,Market Cap,80.435B
1928,CSX,Beta (5Y Monthly),1.22
1929,CSX,PE Ratio (TTM),22.82
1930,CSX,EPS (TTM),1.59
1931,CSX,Earnings Date,"Jan 20, 2022"
1932,CSX,Forward Dividend & Yield,0.37 (1.02%)
1933,CSX,Ex-Dividend Date,"Nov 29, 2021"
1934,CSX,1y Target Est,39.40
1935,CMI,Previous Close,231.66
1936,CMI,Open,232.20
1937,CMI,Bid,234.68 x 800
1938,CMI,Ask,237.02 x 1100
1939,CMI,Day's Range,232.32 - 238.05
1940,CMI,52 Week Range,203.38 - 277.09
1941,CMI,Volume,"776,545"
1942,CMI,Avg. Volume,"961,528"
1943,CMI,Market Cap,33.753B
1944,CMI,Beta (5Y Monthly),1.07
1945,CMI,PE Ratio (TTM),15.51
1946,CMI,EPS (TTM),15.21
1947,CMI,Earnings Date,"Feb 03, 2022"
1948,CMI,Forward Dividend & Yield,5.80 (2.50%)
1949,CMI,Ex-Dividend Date,"Nov 18, 2021"
1950,CMI,1y Target Est,276.99
1951,CVS,Previous Close,105.78
1952,CVS,Open,105.25
1953,CVS,Bid,104.97 x 800
1954,CVS,Ask,105.99 x 800
1955,CVS,Day's Range,104.18 - 105.97
1956,CVS,52 Week Range,68.02 - 107.26
1957,CVS,Volume,"6,447,333"
1958,CVS,Avg. Volume,"5,901,847"
1959,CVS,Market Cap,139.055B
1960,CVS,Beta (5Y Monthly),0.84
1961,CVS,PE Ratio (TTM),18.39
1962,CVS,EPS (TTM),5.73
1963,CVS,Earnings Date,"Feb 09, 2022"
1964,CVS,Forward Dividend & Yield,2.20 (2.08%)
1965,CVS,Ex-Dividend Date,"Jan 20, 2022"
1966,CVS,1y Target Est,113.04
1967,DHI,Previous Close,99.43
1968,DHI,Open,103.66
1969,DHI,Bid,100.03 x 800
1970,DHI,Ask,100.30 x 900
1971,DHI,Day's Range,98.82 - 104.16
1972,DHI,52 Week Range,68.38 - 110.45
1973,DHI,Volume,"3,803,888"
1974,DHI,Avg. Volume,"2,857,412"
1975,DHI,Market Cap,35.533B
1976,DHI,Beta (5Y Monthly),1.63
1977,DHI,PE Ratio (TTM),8.74
1978,DHI,EPS (TTM),11.41
1979,DHI,Earnings Date,"Feb 02, 2022"
1980,DHI,Forward Dividend & Yield,0.90 (0.91%)
1981,DHI,Ex-Dividend Date,"Dec 03, 2021"
1982,DHI,1y Target Est,119.06
1983,DHR,Previous Close,306.38
1984,DHR,Open,304.80
1985,DHR,Bid,292.00 x 1000
1986,DHR,Ask,293.99 x 1000
1987,DHR,Day's Range,290.95 - 306.37
1988,DHR,52 Week Range,211.22 - 333.96
1989,DHR,Volume,"3,408,714"
1990,DHR,Avg. Volume,"2,653,558"
1991,DHR,Market Cap,208.692B
1992,DHR,Beta (5Y Monthly),0.70
1993,DHR,PE Ratio (TTM),37.05
1994,DHR,EPS (TTM),7.88
1995,DHR,Earnings Date,"Jan 27, 2022"
1996,DHR,Forward Dividend & Yield,0.84 (0.27%)
1997,DHR,Ex-Dividend Date,"Dec 29, 2021"
1998,DHR,1y Target Est,351.42
1999,DRI,Previous Close,143.55
2000,DRI,Open,144.08
2001,DRI,Bid,141.42 x 800
2002,DRI,Ask,144.84 x 1100
2003,DRI,Day's Range,143.78 - 146.48
2004,DRI,52 Week Range,110.89 - 164.28
2005,DRI,Volume,"662,836"
2006,DRI,Avg. Volume,"1,174,288"
2007,DRI,Market Cap,18.479B
2008,DRI,Beta (5Y Monthly),1.45
2009,DRI,PE Ratio (TTM),20.68
2010,DRI,EPS (TTM),6.99
2011,DRI,Earnings Date,"Mar 23, 2022 - Mar 28, 2022"
2012,DRI,Forward Dividend & Yield,4.40 (3.07%)
2013,DRI,Ex-Dividend Date,"Jan 07, 2022"
2014,DRI,1y Target Est,166.87
2015,DVA,Previous Close,113.76
2016,DVA,Open,114.07
2017,DVA,Bid,115.17 x 800
2018,DVA,Ask,115.26 x 900
2019,DVA,Day's Range,113.10 - 115.44
2020,DVA,52 Week Range,94.38 - 136.48
2021,DVA,Volume,"402,673"
2022,DVA,Avg. Volume,"855,165"
2023,DVA,Market Cap,11.744B
2024,DVA,Beta (5Y Monthly),1.20
2025,DVA,PE Ratio (TTM),13.46
2026,DVA,EPS (TTM),8.56
2027,DVA,Earnings Date,"Feb 09, 2022 - Feb 14, 2022"
2028,DVA,Forward Dividend & Yield,N/A (N/A)
2029,DVA,Ex-Dividend Date,N/A
2030,DVA,1y Target Est,125.75
2031,DE,Previous Close,376.25
2032,DE,Open,378.68
2033,DE,Bid,379.00 x 800
2034,DE,Ask,380.47 x 800
2035,DE,Day's Range,378.58 - 384.20
2036,DE,52 Week Range,278.95 - 400.34
2037,DE,Volume,"1,319,588"
2038,DE,Avg. Volume,"1,689,895"
2039,DE,Market Cap,117.235B
2040,DE,Beta (5Y Monthly),1.06
2041,DE,PE Ratio (TTM),20.03
2042,DE,EPS (TTM),18.99
2043,DE,Earnings Date,"Feb 18, 2022"
2044,DE,Forward Dividend & Yield,4.20 (1.12%)
2045,DE,Ex-Dividend Date,"Dec 30, 2021"
2046,DE,1y Target Est,408.52
2047,DAL,Previous Close,40.61
2048,DAL,Open,41.08
2049,DAL,Bid,41.32 x 1000
2050,DAL,Ask,41.33 x 1000
2051,DAL,Day's Range,40.45 - 42.54
2052,DAL,52 Week Range,33.40 - 52.28
2053,DAL,Volume,"22,745,949"
2054,DAL,Avg. Volume,"13,481,022"
2055,DAL,Market Cap,26.541B
2056,DAL,Beta (5Y Monthly),1.30
2057,DAL,PE Ratio (TTM),N/A
2058,DAL,EPS (TTM),-0.11
2059,DAL,Earnings Date,"Jan 13, 2022"
2060,DAL,Forward Dividend & Yield,N/A (N/A)
2061,DAL,Ex-Dividend Date,"Feb 19, 2020"
2062,DAL,1y Target Est,52.26
2063,XRAY,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
2064,DVN,Previous Close,49.90
2065,DVN,Open,50.00
2066,DVN,Bid,49.55 x 1400
2067,DVN,Ask,49.46 x 1200
2068,DVN,Day's Range,49.29 - 50.84
2069,DVN,52 Week Range,16.11 - 51.16
2070,DVN,Volume,"10,741,505"
2071,DVN,Avg. Volume,"10,570,801"
2072,DVN,Market Cap,33.606B
2073,DVN,Beta (5Y Monthly),3.06
2074,DVN,PE Ratio (TTM),24.65
2075,DVN,EPS (TTM),2.01
2076,DVN,Earnings Date,"Feb 15, 2022"
2077,DVN,Forward Dividend & Yield,0.44 (0.88%)
2078,DVN,Ex-Dividend Date,"Dec 09, 2021"
2079,DVN,1y Target Est,52.30
2080,DXCM,Previous Close,481.17
2081,DXCM,Open,486.46
2082,DXCM,Bid,498.75 x 800
2083,DXCM,Ask,498.93 x 800
2084,DXCM,Day's Range,483.65 - 501.36
2085,DXCM,52 Week Range,318.45 - 659.45
2086,DXCM,Volume,"628,672"
2087,DXCM,Avg. Volume,"729,209"
2088,DXCM,Market Cap,48.07B
2089,DXCM,Beta (5Y Monthly),0.76
2090,DXCM,PE Ratio (TTM),93.54
2091,DXCM,EPS (TTM),5.30
2092,DXCM,Earnings Date,"Feb 10, 2022"
2093,DXCM,Forward Dividend & Yield,N/A (N/A)
2094,DXCM,Ex-Dividend Date,N/A
2095,DXCM,1y Target Est,635.88
2096,FANG,Previous Close,124.57
2097,FANG,Open,124.19
2098,FANG,Bid,124.03 x 800
2099,FANG,Ask,126.96 x 800
2100,FANG,Day's Range,123.54 - 127.27
2101,FANG,52 Week Range,56.13 - 127.27
2102,FANG,Volume,"2,605,344"
2103,FANG,Avg. Volume,"2,747,298"
2104,FANG,Market Cap,22.48B
2105,FANG,Beta (5Y Monthly),2.52
2106,FANG,PE Ratio (TTM),48.45
2107,FANG,EPS (TTM),2.56
2108,FANG,Earnings Date,"Feb 22, 2022"
2109,FANG,Forward Dividend & Yield,2.00 (1.61%)
2110,FANG,Ex-Dividend Date,"Nov 10, 2021"
2111,FANG,1y Target Est,136.47
2112,DLR,Previous Close,158.95
2113,DLR,Open,159.21
2114,DLR,Bid,157.00 x 1000
2115,DLR,Ask,164.98 x 1100
2116,DLR,Day's Range,157.15 - 159.88
2117,DLR,52 Week Range,124.65 - 178.22
2118,DLR,Volume,"988,263"
2119,DLR,Avg. Volume,"1,242,157"
2120,DLR,Market Cap,44.731B
2121,DLR,Beta (5Y Monthly),0.22
2122,DLR,PE Ratio (TTM),66.48
2123,DLR,EPS (TTM),2.37
2124,DLR,Earnings Date,"Feb 17, 2022"
2125,DLR,Forward Dividend & Yield,4.64 (2.92%)
2126,DLR,Ex-Dividend Date,"Dec 14, 2021"
2127,DLR,1y Target Est,172.43
2128,DFS,Previous Close,127.80
2129,DFS,Open,128.62
2130,DFS,Bid,127.00 x 2200
2131,DFS,Ask,129.44 x 900
2132,DFS,Day's Range,128.10 - 130.81
2133,DFS,52 Week Range,81.27 - 135.69
2134,DFS,Volume,"2,055,843"
2135,DFS,Avg. Volume,"1,828,392"
2136,DFS,Market Cap,37.924B
2137,DFS,Beta (5Y Monthly),1.69
2138,DFS,PE Ratio (TTM),7.74
2139,DFS,EPS (TTM),16.72
2140,DFS,Earnings Date,"Jan 19, 2022"
2141,DFS,Forward Dividend & Yield,2.00 (1.56%)
2142,DFS,Ex-Dividend Date,"Nov 23, 2021"
2143,DFS,1y Target Est,142.83
2144,DISCA,Previous Close,28.79
2145,DISCA,Open,28.86
2146,DISCA,Bid,29.27 x 800
2147,DISCA,Ask,29.28 x 800
